nombre,lat,lng,direccion,categoria,capa,mapa,lista,gf_nivel,certificado,web,telefono,gmaps_url
Le Otto Sin Gluten,39.9833736,-0.0390887,,Pizzería ,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Le+Otto+Sin+Gluten/@39.9833736,-0.0390887,17z"
Camino De Santiago,40.3599131,0.4025461,,Mediterránea,acecova,SinGlu,SinGlu,,si,,,"https://www.google.com/maps/search/Camino+De+Santiago/@40.3599131,0.4025461,17z"
Aborigen Restaurante,40.3616107,0.3994507,,Mediterránea,acecova,SinGlu,SinGlu,,si,,,"https://www.google.com/maps/search/Aborigen+Restaurante/@40.3616107,0.3994507,17z"
Restaurante Cor de Carxofa,40.4150703,0.4318295,,Mediterráneo,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Restaurante+Cor+de+Carxofa/@40.4150703,0.4318295,17z"
Bambola di Grosso Napoletano,38.968737,1.280926,,100% Sin Gluten,,SinGlu,SinGlu,100%,,,,"https://www.google.com/maps/search/Bambola+di+Grosso+Napoletano/@38.968737,1.280926,17z"
Santa Vegana,38.9861487,1.5321894,,Comida Vegana,acib,SinGlu,SinGlu,,si,,,"https://www.google.com/maps/search/Santa+Vegana/@38.9861487,1.5321894,17z"
St. Lorenzo Tapas Restaurante & Pizzeria ,39.4758817,2.5245417,,Pizzería,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/St.+Lorenzo+Tapas+Restaurante+%26+Pizzeria+/@39.4758817,2.5245417,17z"
Avocado Mallorca | Brunch & Lunch | Coffee & Juice in Cala Majo,39.5536392,2.6053901,,Cafetería,face,SinGlu,SinGlu,,si,,,"https://www.google.com/maps/search/Avocado+Mallorca+%7C+Brunch+%26+Lunch+%7C+Coffee+%26+Juice+in+Cala+Majo/@39.5536392,2.6053901,17z"
Dulceliaco,39.5730157,2.6323671,,Panadería ,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Dulceliaco/@39.5730157,2.6323671,17z"
Can Pinyol Bakery,39.5833756,2.6373252,,Pastelería ,acib,SinGlu,SinGlu,,si,,,"https://www.google.com/maps/search/Can+Pinyol+Bakery/@39.5833756,2.6373252,17z"
Solatz by Saez,39.5766101,2.6519285,,Pastelería,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Solatz+by+Saez/@39.5766101,2.6519285,17z"
Il Capriccio | Carrer De Costa I Llobera,39.5751745,2.6578356,,Pizzería,face,SinGlu,SinGlu,,si,,,"https://www.google.com/maps/search/Il+Capriccio+%7C+Carrer+De+Costa+I+Llobera/@39.5751745,2.6578356,17z"
Gluky Gluten Free Bakery,39.5667861,2.6590087,,Pastelería,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Gluky+Gluten+Free+Bakery/@39.5667861,2.6590087,17z"
Il capriccio | Carrer De Marbella,39.526656,2.7340249,,Pizzería,face,SinGlu,SinGlu,,si,,,"https://www.google.com/maps/search/Il+capriccio+%7C+Carrer+De+Marbella/@39.526656,2.7340249,17z"
Carsi's Bakery Gluten Free,39.8768063,3.0177471,,Cafetería,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Carsi%27s+Bakery+Gluten+Free/@39.8768063,3.0177471,17z"
Bloome by Sasha – Brunch Sin Gluten Menorca,40.0054308,3.8007293,,Cafetería,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Bloome+by+Sasha+%E2%80%93+Brunch+Sin+Gluten+Menorca/@40.0054308,3.8007293,17z"
Crêperie Bretonne Kenavo - sense gluten,41.1559757,1.1118427,,Mediterránea,associacio-celiacs-catalunya,SinGlu,SinGlu,,si,,,"https://www.google.com/maps/search/Cr%C3%AAperie+Bretonne+Kenavo+-+sense+gluten/@41.1559757,1.1118427,17z"
SENSE TGN,41.1197096,1.2505287,,Panadería,associacio-celiacs-catalunya,SinGlu,SinGlu,,si,,,"https://www.google.com/maps/search/SENSE+TGN/@41.1197096,1.2505287,17z"
Espai Sant Pere,41.116879,1.2537249,,Cafetería,associacio-celiacs-catalunya,SinGlu,SinGlu,,si,,,"https://www.google.com/maps/search/Espai+Sant+Pere/@41.116879,1.2537249,17z"
