nombre,lat,lng,direccion,categoria,capa,mapa,lista,gf_nivel,certificado,web,telefono,gmaps_url
McDonald's McDrive,53.1792987,5.7971244,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s+McDrive/@53.1792987,5.7971244,17z"
McDonald's,52.16695359999999,4.4466632,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@52.16695359999999,4.4466632,17z"
McDonald's Leiden Beestenmarkt,52.162859999999995,4.485041000000001,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s+Leiden+Beestenmarkt/@52.162859999999995,4.485041000000001,17z"
McDonald's Leiden Donkersteeg,52.16003509999999,4.4911338,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s+Leiden+Donkersteeg/@52.16003509999999,4.4911338,17z"
McDonald's Leiderdorp,52.1603436,4.550203799999999,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s+Leiderdorp/@52.1603436,4.550203799999999,17z"
McDonald's,52.103875,5.060231,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@52.103875,5.060231,17z"
McDonald's,52.09026490000001,4.384237199999999,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@52.09026490000001,4.384237199999999,17z"
McDonald's,52.482333399999995,5.5053933,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@52.482333399999995,5.5053933,17z"
McDonald's,52.5227616,5.4389199,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@52.5227616,5.4389199,17z"
McDonald's,52.1288601,5.035051200000001,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@52.1288601,5.035051200000001,17z"
McDonald's,51.9697267,4.2120347,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@51.9697267,4.2120347,17z"
McDonald's Maastricht Gronsveld,50.812366300000015,5.7214446,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s+Maastricht+Gronsveld/@50.812366300000015,5.7214446,17z"
McDonald's,50.8499489,5.6889291,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@50.8499489,5.6889291,17z"
McDonald's,50.849585,5.700146999999998,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@50.849585,5.700146999999998,17z"
McDonald's,51.806369,5.852896,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@51.806369,5.852896,17z"
McDonald's,52.694872,6.2050920000000005,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@52.694872,6.2050920000000005,17z"
McDonald's,51.48311999999999,3.625049,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@51.48311999999999,3.625049,17z"
McDonald's Moordrecht,51.9994649,4.6517607,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s+Moordrecht/@51.9994649,4.6517607,17z"
McDonald’s,52.3226001,5.082514,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%E2%80%99s/@52.3226001,5.082514,17z"
McDonald's,51.2775803,5.7395609000000025,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@51.2775803,5.7395609000000025,17z"
McDonald's,52.04934120000001,5.118090499999999,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@52.04934120000001,5.118090499999999,17z"
McDonald's,52.04763750000001,5.087088200000001,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@52.04763750000001,5.087088200000001,17z"
McDonald's,52.2405172,5.481891600000001,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@52.2405172,5.481891600000001,17z"
McDonald's,51.8253997,5.803559999999999,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@51.8253997,5.803559999999999,17z"
McDonald's Nijverdal/ Hellendoorn,52.3616993,6.509093099999999,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s+Nijverdal%2F+Hellendoorn/@52.3616993,6.509093099999999,17z"
McDonald's Oldenzaal,52.285079,6.92852,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s+Oldenzaal/@52.285079,6.92852,17z"
McDonald's,51.6737218,4.8243398,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@51.6737218,4.8243398,17z"
McDonald's,51.5665517,4.4708066,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@51.5665517,4.4708066,17z"
McDonald's Oosterhout,51.89228,5.830027099999998,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s+Oosterhout/@51.89228,5.830027099999998,17z"
McDonald's,52.4858074,4.950998999999999,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@52.4858074,4.950998999999999,17z"
