nombre,lat,lng,direccion,categoria,capa,mapa,lista
Gastró Frattamaggiore,40.9369059,14.2718191,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
GREENHOUSE Restaurant Bar,40.9381534,14.2697898,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Nonna Mà Pizzeria Trattoria,40.9384069,14.2704458,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Deluxe Mele Mele Di Rocco Sas,40.9323938,14.2895352,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Salotto Fico,40.819883,14.348292400000002,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Panino Macelleria Egidio - Puroro Pizza Fritta,40.82003720000001,14.3481747,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
PalaPizza - Il Palazzo Della Pizza,40.941702,14.269101,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Funiculì Funiculà,40.8480108,14.35917,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Blackburger,40.944552,14.2703511,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Pasticceria Generoso,40.8088909,14.353637900000003,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Yogurteria Yolly,40.91341389999999,14.3466394,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Morsi & Rimorsi - Pizzeria Aversa,40.9591707,14.2117282,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
